date,population_group,returned_to_shelter,moved_to_housing,actively_homeless,newly_identified,ageunder16,age16-24,age25-34,age35-44,age45-54,age55-64,age65over,interaction_age_under16_time,interaction_age16_24_time,interaction_age25_34_time,interaction_age35_44_time,interaction_age45_54_time,interaction_age55_64_time,interaction_age65over_time,population_group_percentage
2022-06-01,Chronic,55,199,4916,395,415,482,698,961,985,911,464,-0.055538468472344685,0.06063080201346639,0.01908893587078425,0.16184762796153332,0.5439776275292703,0.772277224966413,0.7339485706825971,50.4
2022-07-01,Chronic,31,225,4901,388,408,495,682,952,981,907,476,-0.07638615551767143,0.11872831667951646,-0.003813958699914784,0.16021647923764687,0.5749483548788853,0.8161440719790595,0.8876885178754355,50.2
2022-08-01,Chronic,42,230,4899,381,388,511,689,949,973,912,477,-0.1327573798033191,0.19827719511279968,0.0073840109306402,0.16716197122353532,0.5926801745356323,0.9007927713225075,0.9633709162401194,50.4
2022-09-01,Chronic,49,244,4978,502,442,527,700,959,985,895,470,0.004127539956534309,0.2877448996979105,0.027221086916049724,0.19733203645130176,0.6756267749077123,0.8805348934874183,0.9667247122664064,51.4
2022-10-01,Chronic,50,305,4926,409,426,520,705,947,962,898,468,-0.04168556249448453,0.27088201729492384,0.038289641416123524,0.18635768610997122,0.6343717023821525,0.9521661848186164,1.0085980166387833,51.2
2022-11-01,Chronic,68,295,4898,381,391,516,720,935,971,893,472,-0.15127114193879634,0.26628158612537034,0.07039988045578068,0.17289816329343893,0.7085099054701891,0.9831971687735412,1.112381930313066,50.4
2022-12-01,Chronic,76,322,4895,414,379,518,740,947,947,896,468,-0.19853752737035782,0.2925267728092655,0.11625493171835027,0.2089961440933128,0.6498620439587875,1.0561089233294758,1.1311210222543646,47
2023-01-01,Chronic,56,284,5015,556,387,501,819,992,953,906,457,-0.18220809571280583,0.2076368191509828,0.2972438288195714,0.3248282130026365,0.7116202052014353,1.176097696730367,1.0661486436224998,46.9
2023-02-01,Chronic,57,317,5001,416,373,477,827,1032,952,903,437,-0.24190620505063898,0.0684530470178887,0.33135512606674555,0.43935024269238504,0.744192750246308,1.2179375879779788,0.8783631320393516,46.1
2023-03-01,Chronic,53,304,5091,463,380,488,849,1067,960,907,440,-0.2265214073304397,0.14335662154332343,0.39964421988856885,0.5482296817341299,0.8156114188965695,1.2996861384114653,0.9558518223598612,47.1
2023-04-01,Chronic,36,377,5017,440,394,482,832,1050,937,875,447,-0.18234447212339572,0.10911677123557866,0.37535150751807567,0.5288674162749182,0.739626236448263,1.1334638319543486,1.0944538653592928,47.7
2023-05-01,Chronic,35,414,4917,443,392,472,815,1017,929,849,443,-0.19853130301110516,0.04249538728209063,0.34665291985543195,0.4600996364934277,0.7304153402450119,0.9898706597383912,1.0868326808453599,47
